Enunciado;Alternativas
"Duas operadoras oferecem planos de dados mensais:

 Plano A: cobra R$ 30,00 fixos mais R$ 0,40 por GB consumido.
 Plano B: cobra R$ 20,00 fixos mais R$ 0,60 por GB consumido.

Para qual valor de consumo mensal (em GB), os custos dos dois planos coincidem?";"5
20
40
50
100"
"Em determinado instante, o ângulo de elevação da Lua em relação ao horizonte é 135°.

O valor de sen(135°) é:";"Maior que 0,75 e menor que 0,78.
Maior que 0,72 e menor que 0,75.
Maior que 0,69 e menor que 0,72.
Maior que 0,78.
Menor que 0,69."
Resolva a inequação x2 – 5x + 6 < 0 e assinale o intervalo solução.;"x ≤ 2
2 < x < 3
x < 2 ou x > 3
x ≥ 3
todos os números reais"
"Um polinômio q(x), ao ser dividido por (x − 2), deixa resto 5; e, ao ser dividido por (x + 4), deixa resto −1.
O resto da divisão de q(x) por (x − 2)(x + 4) é da forma ax + b, onde a e b são números reais.

Qual é o valor de a + b?";"0
1
2
3
4"
"Um arquiteto projetou uma pirâmide de base quadrada para decorar a entrada de uma escola. A base da pirâmide é um quadrado de lado de 6 m e a altura da pirâmide é de 10 m.

Qual é o volume dessa pirâmide (em m³)?";"120
200
240
300
360"
"Em um laboratório, uma esfera de raio 1,2 m será pintada.


A área total a ser pintada (em m²) é:";"Maior que 19. 
Maior que 18 e menor que 19.
Maior que 17 e menor que 18.
Maior que 16 e menor que 17.
Menor que 16."
"Para armazenar água da chuva em uma escola, será instalado um reservatório cilíndrico com raio de 2,5 m e altura de 3 m.

O volume do reservatório (em m³) é:";"Maior que 61.
Maior que 60 e menor que 61.
Maior que 59 e menor que 60.
Maior que 58 e menor que 59.
Menor que 58."
"O pátio retangular da escola mede 20 m por 12 m. Será construída, na parte interna, uma faixa pavimentada de 1,5 m de largura ao redor de todo o pátio.

A área dessa faixa (em m²) é:";"Maior que 92.
Maior que 89 e menor que 92.
Maior que 86 e menor que 89.
Maior que 83 e menor que 86.
Menor que 83."
"Na aula de Geografia integrada à Matemática, um mapa tem escala 1:25.000.

Se a distância entre a escola e a praça é de 2,8 cm no mapa, a distância real (em quilômetros) é:";"Maior que 0,75.
Maior que 0,73 e menor que 0,75.
Maior que 0,71 e menor que 0,73. 
Maior que 0,69 e menor que 0,71.
Menor que 0,69."
"Considere um hexágono regular inscrito em uma circunferência de raio 10 cm.

Sabendo que o hexágono regular também pode ser circunscrito a uma circunferência, a diferença positiva entre as áreas das duas circunferências (a circunscrita ao hexágono e a inscrita no hexágono), em cm² é: ";"Maior que 78 e menor que 80.
Maior que 80 e menor que 82.
Maior que 82 e menor que 84.
Maior que 84.
Menor que 78."
"Em um experimento, a altura de um projétil (em metros) é modelada por:

 h(t) = –4,8t2 + 19,2t + 0,5
onde t é o tempo em segundos.

A altura máxima atingida (em metros), segundo o modelo, é:";"



"
